province_name,central_meridian_decimal,central_meridian_dms,projection,zone_width,scale_factor,false_easting,false_northing,unit,epsg_code,source,note
An Giang,104.75,104°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bà Rịa - Vũng Tàu,107.75,107°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bình Dương,105.75,105°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bình Phước,106.25,106°15′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bình Thuận,108.5,108°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bình Định,108.25,108°15′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bạc Liêu,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bắc Giang,107,107°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bắc Kạn,106.5,106°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bắc Ninh,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Bến Tre,105.75,105°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Cao Bằng,105.75,105°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Cà Mau,104.5,104°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Cần Thơ,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Gia Lai,108.5,108°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hà Giang,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hà Nam,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hà Nội,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hà Tĩnh,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hòa Bình,106,106°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hưng Yên,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hải Dương,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hải Phòng,105.75,105°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Hậu Giang,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Khánh Hòa,108.25,108°15′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Kiên Giang,104.5,104°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Kon Tum,107.5,107°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Lai Châu,103,103°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Long An,105.75,105°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Lào Cai,104.75,104°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Lâm Đồng,107.75,107°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Lạng Sơn,107.25,107°15′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Nam Định,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Nghệ An,104.75,104°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Ninh Bình,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Ninh Thuận,108.25,108°15′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Phú Thọ,104.75,104°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Phú Yên,108.5,108°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Quảng Bình,106,106°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Quảng Nam,107.75,107°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Quảng Ngãi,108,108°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Quảng Ninh,107.75,107°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Quảng Trị,106.25,106°15′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Sóc Trăng,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Sơn La,104,104°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Thanh Hóa,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Thái Bình,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Thái Nguyên,106.5,106°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Thừa Thiên Huế,107,107°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Tiền Giang,105.75,105°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
TP Hồ Chí Minh,105.75,105°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Trà Vinh,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Tuyên Quang,106,106°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Tây Ninh,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Vĩnh Long,105.5,105°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Vĩnh Phúc,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Yên Bái,104.75,104°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Điện Biên,103,103°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Đà Nẵng,107.75,107°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Đắc Lắc,108.5,108°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Đắc Nông,108.5,108°30′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Đồng Nai,107.75,107°45′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
Đồng Tháp,105,105°00′,TM-3,3,0.9999,500000,0,meter,,reference_excel,Extracted from named range DSKTTRUC / OPTION_PARAMETER
